气温(℃),露点温度(℃),相对湿度(%),降水量(mm),积雪深度(cm),风向(度数，0-360),平均风速(km/h),最大风速(km/h),气压(hpa),时间
28.0,8.8,30.0,0.0,,60.0,18.0,,1009.0,2024-05-28 07:00:00
28.0,8.8,30.0,0.0,,60.0,14.0,,1009.0,2024-05-28 08:00:00
27.0,8.9,32.0,0.0,,40.0,11.0,,1009.0,2024-05-28 09:00:00
25.0,10.8,41.0,0.0,,80.0,14.0,,1009.0,2024-05-28 10:00:00
22.0,12.0,53.0,0.0,,80.0,11.0,,1010.0,2024-05-28 11:00:00
23.0,12.0,50.0,0.0,,100.0,11.0,,1011.0,2024-05-28 12:00:00
22.0,11.1,50.0,0.0,,110.0,11.0,,1012.0,2024-05-28 13:00:00
22.0,12.0,53.0,0.0,,110.0,11.0,,1012.0,2024-05-28 14:00:00
21.0,11.1,53.0,0.0,,120.0,7.0,,1012.0,2024-05-28 15:00:00
21.0,9.9,49.0,0.0,,120.0,7.0,,1012.0,2024-05-28 16:00:00
18.0,11.1,64.0,0.0,,116.0,5.5,,1012.0,2024-05-28 17:00:00
17.0,11.1,68.0,0.0,,250.0,4.0,,1012.0,2024-05-28 18:00:00
17.0,11.9,72.0,0.0,,270.0,4.0,,1012.0,2024-05-28 19:00:00
16.0,12.0,77.0,0.0,,250.0,7.0,,1012.0,2024-05-28 20:00:00
17.0,12.9,77.0,0.0,,360.0,4.0,,1012.0,2024-05-28 21:00:00
18.0,15.1,83.0,0.0,,240.0,7.0,,1012.0,2024-05-28 22:00:00
21.0,11.9,56.0,0.0,,250.0,4.0,,1013.0,2024-05-28 23:00:00
23.0,12.9,53.0,0.0,,100.0,11.0,,1013.0,2024-05-29 00:00:00
